"sname","sphone","semail","sstream","sid","spassword","scollege"
"Tia Dixon","9844702779","tiad@yahoo.com","Computer Science","1","qwer","PES"
"Zayne Berger","9844708926","zayneb@yahoo.com","Architecture","3","qwer","PES"
"Harley Castillo","9844704040","harlcast@yahoo.com","Mechanical","4","qwer","PES"
"Ella Martin","9844705671","emar@yahoo.com","Electrical","5","abc123","RV College"
"Viviana Malone","9844705959","vivimal@yahoo.com","Electronics","6","abc123","RV College"
"Prince Craig","9844703335","pcraig@yahoo.com","Computer Science","7","abc123","RV College"
"Jaquan Reed","9844705882","jaqreed@yahoo.com","Architecture","8","abc123","RV College"
"Jaelyn McDaniel","9844708023","jaelyndan@yahoo.com","Electrical","9","abc123","RV College"
"Alexis ODonnel","9844706349","alexisdonnel@yahoo.com","Computer Science","10","abc123","RV College"
"Aaron Roy","9844707630","aroy@yahoo.com","Electronics","11","abc123","RV College"
"Amy Horton","9844705637","amyhorton@yahoo.com","Computer Science","12","abc123","RV College"
"Amani Burns","9844706720","amaniburns@yahoo.com","Architecture","13","abc123","RV College"
"Maritza Leonard","9844706549","maritza@yahoo.com","Electrical","14","abc123","RV College"
"Aleena Hale","9844708572","aleenahale@yahoo.com","Electronics","15","abc123","RV College"
"Holly Jefferson","9844700011","hjefferson@yahoo.com","Mechanical","16","abc123","RV College"
"Chanel Vasquez","9844709389","chanelvas@yahoo.com","Mechanical","17","abc123","RV College"
"Enrique Gentry","9844700881","egentry@yahoo.com","Electronics","18","abc123","RV College"
"Deacon Moss","9844707514","deaconmoss@yahoo.com","Architecture","19","abc123","RV College"
"Braylon Chaney","9844702835","braychaney@yahoo.com","Computer Science","20","abc123","RV College"
"Ainsley Lawrence","9844706063","ainsleyl@yahoo.com","Electronics","21","abc123","RV College"
"Deacon Moss","9844702887","dmoss@yahoo.com","Computer Science","22","abc123","RV College"
"Sage Brooks","9844706892","sbrooks@yahoo.com","Electrical","23","xyz345","BMS"
"Maria Hale","9844701111","mariahale@yahoo.com","Electronics","24","xyz345","BMS"
"Maia Munoz","9844702323","maiamunoz@yahoo.com","Computer Science","25","xyz345","BMS"
"Kendrick Sullivan","7359420407","kendrick@yahoo.com","Computer Science","26","xyz345","BMS"
"Sharon Pope","9780404043","spope@yahoo.com","Computer Science","27","xyz345","BMS"
"Juliet Zimmerman","9417279576","juliet@yahoo.com","Computer Science","28","xyz345","BMS"
"Louis Mcfarland","9003556672","louismc@yahoo.com","Mechanical","29","xyz345","BMS"
"Nola Manning","9995239993","nolamann@yahoo.com","Electrical","30","xyz345","BMS"
"Lexie Downs","7980197958","lexiedowns@yahoo.com","Electrical","31","xyz345","BMS"
"Caiden Holland","9451469411","caiden@yahoo.com","Electronics","32","xyz345","BMS"
"Lorelei Oneal","9140273280","loneal@yahoo.com","Architecture","33","xyz345","BMS"
"Walter Marquez","8279358224","walterm@yahoo.com","Mechanical","34","xyz345","BMS"
"Hannah Archer","7020662921","hannah@yahoo.com","Electrical","35","xyz345","BMS"
"Markus Padilla","7349089495","mpadilla@yahoo.com","Electrical","36","xyz345","BMS"
"Saniya Arias","7907356523","saniya@yahoo.com","Electronics","37","xyz345","BMS"
"Cordell Rivas","9094899966","cordell@yahoo.com","Mechanical","38","xyz345","BMS"
"Roselyn Hernandez","9945567707","roselynh@yahoo.com","Computer Science","39","xyz345","BMS"
"Ronan Middleton","9743531286","ronanmiddle@yahoo.com","Architecture","40","xyz345","BMS"
"Tori Ramirez","9746583475","tory@yahoo.com","Electrical","41","xyz345","BMS"
"Taylor Jensen","9372847275","taylorjenson@yahoo.com","Electronics","42","xyz345","BMS"
"Rose Knox","9734283756","roseknox@yahoo.com","Computer Science","43","xyz345","BMS"
"Anabella Holmes","9024848248","anabella@yahoo.com","Computer Science","44","xyz345","BMS"
"Johnny Archer","9562847382","johnnyarcher@yahoo.com","Electronics","45","xyz345","BMS"
"Elliana Delacruz","9266482748","elliana@yahoo.com","Architecture","46","jfkd","MSRIT"
"Cloe Jimenez","9337462784","cloe@yahoo.com","Mechanical","47","jfkd","MSRIT"
"Jacob Hamilton","9762462458","jacobh@yahoo.com","Electronics","48","jfkd","MSRIT"
"Mylee Summers","9783487568","summers@yahoo.com","Architecture","49","jfkd","MSRIT"
"Skyla Hayes","9284568774","skylahayes@yahoo.com","Computer Science","50","jfkd","MSRIT"
"Pearlie Jacquemin","9156357894","pearlie123@gmail.com","Architecture","51","jfkd","MSRIT"
"Kieth Burgio","9457236765","kb433@gmail.com","Mechanical","52","jfkd","MSRIT"
"Shalon Mckelvy","9436733748","shally45@yahoo.com","Electrical","53","jfkd","MSRIT"
"Tula Miguel","9765433760","tmiggy4@gmail.com","Electronics","54 ","jfkd","MSRIT"
"Ingrid Kemper","9743530900","ingrid1@hotmail.com","Architecture","55","jfkd","MSRIT"
"Lynette Gamez","9743689932","gamez007@gmail.com","Computer Science","56","jfkd","MSRIT"
"Arielle Knoll","9098365845","arie455@yahoo.com","Electronics","57","jfkd","MSRIT"
"Tim Surprenant","9977632456","timsurp0@yahoo.com","Architecture","58","jfkd","MSRIT"
"Georgiana Sinn","9225467456","georg2003@gmail.com","Mechanical","59 ","jfkd","MSRIT"
"Annetta Fregoe","9113489032","anne789@gmail.com","Architecture","60","jfkd","MSRIT"
"Blaine Middlebrook","9188034255","blaine33@yahoo.com","Electronics","61","jfkd","MSRIT"
"Pablo Edling","9304964389","pablo1999@hotmail.com","Electrical","62","jfkd","MSRIT"
"Shawnta Buzzard","9467821905","shawn77@yahoo.com","Computer Science","63","jfkd","MSRIT"
"Klara Mallard","9750178325","klara7@hotmail.com","Computer Science","64","jfkd","MSRIT"
"Gabriele Labrie","9091267483","gabriele00@gmail.com","Mechanical","65","jfkd","MSRIT"
"Josefina Burkes","9884536278","jb99@yahoo.com","Electronics","66","jfkd","MSRIT"
"Wallace Gately","9437652201","gate377@gmail.com","Computer Science","67","jfkd","MSRIT"
"Elfreda Hylton","9003467821","elfreda4@yahoo.com","Architecture","68","jfkd","MSRIT"
"Linnea Trentham","9673429026","linn3@hotmail.com","Computer Science","69","jfkd","MSRIT"
"Rosalee Vanfossen","9346899117","rv55@gmail.com","Computer Science","70","jfkd","MSRIT"
"Mable Reynoso","9094536278","ros34@gmail.com","Electrical","71","jfkd","MSRIT"
"Petra Pacheo","9773245189","petra1@gmail.com","Electrical","72","jfkd","MSRIT"
"Curt Belfiore","9564378235","curt34@yahoo.com","Electronics","73","jfkd","MSRIT"
"Rebecka Urias","9904563456","rebec21@yahoo.com","Computer Science","74","jfkd","MSRIT"
"Hae Wharton","9762234098","wharton99@gmail.com","Architecture","75","jfkd","MSRIT"
"Clarence Burnett","9844705108","clarburnett@yahoo.com","Electronics","2","qwer","PES"
"brielle","9916679516","bee@yahoo.com","Electronics","77","bee","PES"
"Archana","9900050071","arch.2421@gmail.com","Electronics","76","qwer","PES"
"","          ","","","78","",""
